Time,Open,High,Low,Close,Adj Close,Volume
6/15/2017,0.278196,0.278923,0.240868,0.259266,0.259266,191548000
6/16/2017,0.259473,0.266211,0.252408,0.262068,0.262068,88152400
6/17/2017,0.262358,0.270717,0.258105,0.268351,0.268351,121948000
6/18/2017,0.268085,0.289468,0.265078,0.2846,0.2846,232512000
6/19/2017,0.283977,0.296068,0.280233,0.296068,0.296068,164955008
6/20/2017,0.292194,0.339533,0.290147,0.324427,0.324427,793609984
6/21/2017,0.324623,0.32776,0.283614,0.296366,0.296366,358492992
6/22/2017,0.299886,0.305852,0.291519,0.297848,0.297848,194551008
6/23/2017,0.297718,0.320751,0.295551,0.319978,0.319978,177220992
6/24/2017,0.319188,0.327117,0.306487,0.31111,0.31111,313710016
6/25/2017,0.310816,0.311157,0.289148,0.298423,0.298423,158844992
6/26/2017,0.29877,0.30198,0.260819,0.277288,0.277288,280100000
6/27/2017,0.277288,0.27881,0.251052,0.276306,0.276306,186951008
6/28/2017,0.275391,0.28149,0.26784,0.280455,0.280455,126278000
6/29/2017,0.280565,0.280873,0.264175,0.265421,0.265421,89745296
6/30/2017,0.26606,0.26916,0.262242,0.26293,0.26293,67764496
7/1/2017,0.262855,0.263053,0.252966,0.254744,0.254744,53611000
7/2/2017,0.254512,0.259951,0.250944,0.259449,0.259449,54095000
7/3/2017,0.258977,0.262354,0.255666,0.259959,0.259959,60367800
7/4/2017,0.259841,0.262258,0.254387,0.254709,0.254709,56008900
7/5/2017,0.255125,0.261713,0.254275,0.256523,0.256523,73292096
7/6/2017,0.256374,0.257148,0.253303,0.254641,0.254641,43845800
7/7/2017,0.254858,0.255431,0.238892,0.23948,0.23948,88408000
7/8/2017,0.239741,0.239741,0.221769,0.236134,0.236134,124578000
7/9/2017,0.236884,0.248501,0.233416,0.233416,0.233416,82755000
7/10/2017,0.234067,0.234067,0.185418,0.203165,0.203165,119367000
7/11/2017,0.196415,0.20332,0.168265,0.185019,0.185019,271415008
7/12/2017,0.184198,0.205898,0.177162,0.205354,0.205354,153023008
7/13/2017,0.205873,0.230452,0.193357,0.200809,0.200809,216750000
7/14/2017,0.200819,0.201156,0.183369,0.190769,0.190769,97037600
7/15/2017,0.190976,0.191167,0.167118,0.170589,0.170589,131779000
7/16/2017,0.16948,0.172575,0.11977,0.148056,0.148056,257944000
7/17/2017,0.150146,0.179604,0.141425,0.177889,0.177889,312684992
7/18/2017,0.179668,0.195807,0.165966,0.188718,0.188718,295840992
7/19/2017,0.188498,0.188533,0.158188,0.168388,0.168388,147778000
7/20/2017,0.170017,0.192918,0.167718,0.188295,0.188295,183292000
7/21/2017,0.18943,0.190708,0.181098,0.182608,0.182608,104722000
7/22/2017,0.182168,0.195009,0.181447,0.19332,0.19332,83913800
7/23/2017,0.193568,0.204121,0.188722,0.195058,0.195058,195682000
7/24/2017,0.194979,0.195279,0.189835,0.192002,0.192002,56632800
7/25/2017,0.19228,0.192734,0.169797,0.178104,0.178104,166807008
7/26/2017,0.177582,0.180872,0.16906,0.173822,0.173822,76584600
7/27/2017,0.17521,0.176602,0.17198,0.173457,0.173457,34575100
7/28/2017,0.173211,0.174078,0.162183,0.165937,0.165937,74649800
7/29/2017,0.165218,0.171566,0.155475,0.169871,0.169871,80897000
7/30/2017,0.169494,0.170411,0.164094,0.165082,0.165082,40621700
7/31/2017,0.16505,0.169535,0.162002,0.167386,0.167386,57273800
8/1/2017,0.168024,0.178332,0.166124,0.177053,0.177053,119957000
8/2/2017,0.177531,0.179655,0.171618,0.173113,0.173113,53441400
8/3/2017,0.173218,0.175969,0.17173,0.174612,0.174612,31479000
8/4/2017,0.174555,0.176053,0.172224,0.173743,0.173743,45170000
8/5/2017,0.173865,0.187844,0.173267,0.184737,0.184737,114270000
8/6/2017,0.185398,0.189486,0.180298,0.180444,0.180444,74161600
8/7/2017,0.179716,0.181847,0.177605,0.179021,0.179021,58052100
8/8/2017,0.179602,0.194391,0.178487,0.192586,0.192586,180028000
8/9/2017,0.192527,0.192914,0.180629,0.182947,0.182947,97805400
8/10/2017,0.183168,0.1835,0.180013,0.180399,0.180399,48162800
8/11/2017,0.180175,0.182631,0.177627,0.179307,0.179307,54059700
8/12/2017,0.179221,0.182599,0.173242,0.173853,0.173853,65229300
8/13/2017,0.173545,0.174147,0.162625,0.168092,0.168092,110199000
8/14/2017,0.168376,0.180054,0.165289,0.169991,0.169991,84388304
8/15/2017,0.16979,0.16979,0.158244,0.161221,0.161221,100614000
8/16/2017,0.161238,0.161726,0.153087,0.160431,0.160431,107920000
8/17/2017,0.160787,0.161001,0.155909,0.157498,0.157498,56084300
8/18/2017,0.157117,0.168716,0.154162,0.158883,0.158883,146539008
8/19/2017,0.159553,0.162348,0.152305,0.155057,0.155057,87062096
8/20/2017,0.154569,0.161205,0.153432,0.158735,0.158735,68542800
8/21/2017,0.15841,0.205684,0.154856,0.191918,0.191918,447088992
8/22/2017,0.194971,0.254659,0.171483,0.239286,0.239286,1450040064
8/23/2017,0.240987,0.297662,0.219992,0.246827,0.246827,1770400000
8/24/2017,0.252371,0.288783,0.212543,0.218958,0.218958,1342360064
8/25/2017,0.2172,0.232184,0.203022,0.217828,0.217828,504484000
8/26/2017,0.218256,0.229086,0.210324,0.212577,0.212577,184120992
8/27/2017,0.212617,0.212617,0.197717,0.202995,0.202995,193971008
